submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
1/25/22,RMI,7,7,0,0,0,0,0,0,0,0,1/26/22 15:12,Agree,Agree
1/25/22,CA,"7,929,436","7,482,469","446,967","62,826",0,"78,118",,,17,0,1/26/22 15:12,Agree,Not agree
1/25/22,NV,"633,955","604,173","29,782","3,612",572,"8,797",,,37,0,1/26/22 15:12,Agree,
1/25/22,IN,"1,569,850",,,"9,733",0,"20,928","20,167",761,132,-2,1/26/22 15:12,Not agree,Agree
1/25/22,DE,"242,324","221,181","21,143",957,80,"2,489","2,281",208,9,0,1/26/22 15:12,Agree,Agree
1/25/22,VI,"14,521",,,43,0,97,,,0,0,1/26/22 15:12,,
1/25/22,VT,"92,563",,,415,75,498,,,2,1,1/26/22 15:12,Not agree,Not agree
1/25/22,IL,"2,851,567","2,851,567",0,"13,706",0,"33,942","30,276","3,666",139,18,1/26/22 15:12,Agree,Agree
1/25/22,NE,"428,949","307,862","121,087","3,339","1,187","3,632","3,012",620,28,4,1/26/22 15:12,Agree,Agree
1/25/22,CT,"687,555","617,027","70,528","3,824","1,267","9,773","7,974","1,799",-1,-1,1/26/22 15:12,Agree,Agree
1/25/22,AL,"1,175,528","853,803","321,725","10,523","3,441","17,001","13,163","3,838",1,0,1/27/22 0:00,Agree,Agree
1/25/22,ND,"214,459","164,861","49,598","2,444","1,569","2,078",,,0,0,1/26/22 15:12,Agree,Not agree
1/25/22,MI,"2,184,376","1,918,374","266,002","16,009","3,274","31,704","29,373","2,331",165,18,1/26/22 15:12,Agree,Agree
1/25/22,MD,"940,713",,,"2,399",0,"13,233","12,978",255,75,1,1/26/22 15:12,N/A,Agree
1/25/22,WY,"139,461","109,726","29,735","1,588",416,"1,625","1,625",0,24,0,1/26/22 15:12,Agree,Agree
1/25/22,MN,"1,264,935",,,"35,491","5,685","11,370","10,543",827,37,2,1/26/22 15:12,N/A,Agree
1/25/22,FSM,7,7,0,0,0,0,0,0,0,0,1/26/22 15:12,Agree,Agree
1/25/22,KY,"1,100,097","771,328","328,769","15,046","4,035","12,786","11,203","1,583",23,3,1/26/22 15:12,Agree,Agree
1/25/22,OR,"597,172","597,172",0,"6,902",0,"5,994","5,994",0,41,0,1/26/22 15:12,Agree,Agree
1/25/22,RI,"336,031",,,"1,904",0,"3,270",,,5,0,1/28/22 14:09,Not agree,N/A
1/25/22,MS,"699,002","399,062","299,940","4,909","2,422","10,755","7,200","3,555",21,5,1/26/22 15:12,Agree,Agree
1/25/22,NC,"2,303,196","1,945,407","357,789","4,582","1,132","20,335","17,874","2,461",1,1,1/26/22 15:12,Agree,Agree
1/25/22,GU,"29,478",,,850,155,283,,,1,0,1/26/22 15:12,Not agree,Not agree
1/25/22,NH,"266,000",,,860,0,"2,170",,,25,0,1/26/22 15:12,Not agree,Not agree
1/25/22,WA,"1,216,544",,,"13,233","1,531","10,540",,,82,0,1/26/22 15:12,N/A,N/A
1/25/22,ME,"169,997","124,857","45,140","1,524",290,"1,716","1,571",145,2,0,1/26/22 15:12,Agree,Agree
1/25/22,WI,"1,477,323","1,298,296","179,027","6,911","1,186","12,112","10,908","1,204",102,6,1/26/22 15:12,Agree,Agree
1/25/22,MO,"1,285,040",,,"9,390","2,668","17,070",,,32,2,1/26/22 15:12,Not agree,Not agree
1/25/22,MT,"229,966","184,416","45,550","2,872","1,180","2,987","2,987",0,2,0,1/26/22 15:12,Agree,Agree
1/25/22,ID,"364,577","286,372","78,205","3,518",975,"4,345","3,573",772,14,5,1/26/22 15:12,Agree,Agree
1/25/22,DC,"128,739",,,189,0,"1,278",,,3,0,1/26/22 15:12,,
1/25/22,VA,"1,503,137","1,072,717","430,420","11,125","3,979","16,054","13,407","2,647",49,6,1/26/22 15:12,Agree,Agree
1/25/22,NJ,"2,078,258","1,796,200","282,058","5,722","1,186","30,950","28,043","2,907",151,0,1/26/22 15:12,Agree,Agree
1/25/22,LA,"1,084,448",,,"8,063","3,946","15,476","13,388","2,088",102,21,1/26/22 15:12,Not agree,Agree
1/25/22,AZ,"1,781,274","1,588,439","192,835","13,972",619,"25,624","22,105","3,519",0,0,1/26/22 15:12,Agree,Agree
1/25/22,SC,"1,324,365","1,046,051","278,314","8,614","1,088","15,139",,,3,1,1/25/22 0:00,Agree,Not agree
1/25/22,CO,"1,215,931","1,111,809","104,122","7,859","1,113","10,933","9,650","1,283",86,16,1/26/22 15:12,Agree,Agree
1/25/22,HI,"202,064",,,"1,855",256,"1,135",,,0,0,1/26/22 15:12,Not agree,Not agree
1/25/22,GA,"2,288,693","1,777,459","511,234","16,232","4,673","32,488","27,191","5,297",99,24,1/26/22 15:12,Agree,Agree
1/25/22,MP,"4,440","4,440",0,175,0,22,22,0,0,0,1/26/22 15:12,Agree,Agree
1/25/22,UT,"854,559","854,559",0,"6,600",0,"4,073","3,911",162,10,0,1/26/22 15:12,Agree,Agree
1/25/22,AS,18,,,0,0,0,,,0,0,1/26/22 15:12,,
